PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total,key,bdod,cec,cfvo,clay,nitrogen,ocd,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
TX1270006,SW-Surface Water,32.64491,-99.778583,PFHxS,6,short,34.4,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
TX1270006,SW-Surface Water,32.64491,-99.778583,PFOS,8,Long,32.7,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
TX1270006,SW-Surface Water,32.64491,-99.778583,PFPeA,5,short,21.7,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
TX1290002,SW-Surface Water,32.749385,-96.467465,PFHxA,6,short,3,32.749385-96.467465,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1290005,SW-Surface Water,32.354708,-96.097095,PFBA,4,short,9.4,32.354708-96.097095,188,353,61,635,141,243,80,862,867,159,439,416,323
TX1290006,SW-Surface Water,32.733051,-96.289597,PFBA,4,short,10.8,32.733051-96.289597,188,441,30,928,150,311,80,676,944,168,476,460,304
TX1290006,SW-Surface Water,32.733051,-96.289597,PFBS,4,short,5.8,32.733051-96.289597,188,441,30,928,150,311,80,676,944,168,476,460,304
TX1290006,SW-Surface Water,32.733051,-96.289597,PFHxA,6,short,7.7,32.733051-96.289597,188,441,30,928,150,311,80,676,944,168,476,460,304
TX1290006,SW-Surface Water,32.733051,-96.289597,PFPeA,5,short,8.5,32.733051-96.289597,188,441,30,928,150,311,80,676,944,168,476,460,304
TX1290012,SW-Surface Water,32.617439,-96.164385,PFHxA,6,short,7.6,32.617439-96.164385,188,415,30,836,150,279,79,811,813,159,440,389,324
TX1290012,SW-Surface Water,32.617439,-96.164385,PFHxS,6,short,6.5,32.617439-96.164385,188,415,30,836,150,279,79,811,813,159,440,389,324
TX1290012,SW-Surface Water,32.617439,-96.164385,PFOS,8,Long,10.8,32.617439-96.164385,188,415,30,836,150,279,79,811,813,159,440,389,324
TX1290014,SW-Surface Water,32.794017,-96.476743,PFBA,4,short,9.1,32.794017-96.476743,190,494,62,942,286,406,81,887,939,220,480,392,340
TX1290014,SW-Surface Water,32.794017,-96.476743,PFBS,4,short,3.2,32.794017-96.476743,190,494,62,942,286,406,81,887,939,220,480,392,340
TX1290014,SW-Surface Water,32.794017,-96.476743,PFHxA,6,short,4.3,32.794017-96.476743,190,494,62,942,286,406,81,887,939,220,480,392,340
TX1290014,SW-Surface Water,32.794017,-96.476743,PFPeA,5,short,4.5,32.794017-96.476743,190,494,62,942,286,406,81,887,939,220,480,392,340
TX1290015,SW-Surface Water,32.519148,-96.413726,PFOS,8,Long,4.1,32.519148-96.413726,189,525,11,923,163,357,80,555,933,159,475,439,333
TX1290025,SW-Surface Water,32.704481,-96.411371,PFBA,4,short,12.3,32.704481-96.411371,190,665,40,956,159,286,81,394,927,217,490,460,344
TX1290025,SW-Surface Water,32.704481,-96.411371,PFHxA,6,short,3.1,32.704481-96.411371,190,665,40,956,159,286,81,394,927,217,490,460,344
TX1290053,SW-Surface Water,32.680206,-96.456219,PFBA,4,short,9.9,32.680206-96.456219,190,665,10,944,190,279,81,694,945,192,490,426,345
TX1290053,SW-Surface Water,32.680206,-96.456219,PFBS,4,short,3.8,32.680206-96.456219,190,665,10,944,190,279,81,694,945,192,490,426,345
TX1290053,SW-Surface Water,32.680206,-96.456219,PFHxA,6,short,5.3,32.680206-96.456219,190,665,10,944,190,279,81,694,945,192,490,426,345
TX1290053,SW-Surface Water,32.680206,-96.456219,PFPeA,5,short,5.9,32.680206-96.456219,190,665,10,944,190,279,81,694,945,192,490,426,345
TX1300001,GW-Groundwater,29.765953,-98.733223,PFBA,4,short,6.6,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1300001,GW-Groundwater,29.765953,-98.733223,PFBS,4,short,9,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1300001,GW-Groundwater,29.765953,-98.733223,PFHxA,6,short,3.8,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1300001,GW-Groundwater,29.765953,-98.733223,PFHxS,6,short,8.1,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1300001,GW-Groundwater,29.765953,-98.733223,PFOS,8,Long,7.1,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1300001,GW-Groundwater,29.765953,-98.733223,PFPeA,5,short,3.3,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1300001,SW-Surface Water,29.765953,-98.733223,PFBA,4,short,5,29.765953-98.733223,184,516,580,856,286,338,83,633,860,252,477,465,329
TX1370001,SW-Surface Water,27.505824,-97.857236,PFBA,4,short,7,27.505824-97.857236,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1490002,SW-Surface Water,28.445625,-98.411776,PFBA,4,short,10.4,28.445625-98.411776,183,473,305,948,150,225,82,783,849,154,460,469,383
